65536 , 171998 , 16741 , 172274
262144 , 729926 , 102335 , 730154
524288 , 1432772 , 155446 , 1432962
1 , 3903 , 2722 , 4144
2 , 3590 , 2460 , 3860
4 , 3584 , 2412 , 3833
16 , 4289 , 2702 , 4547
64 , 3753 , 2637 , 4007
256 , 4276 , 2511 , 4529
1024 , 6191 , 2694 , 6447
4096 , 13598 , 3080 , 13855
16384 , 45387 , 6035 , 45675
65536 , 171856 , 16531 , 172125
262144 , 697535 , 68140 , 697777
524288 , 1414280 , 136038 , 1414455
1 , 3919 , 2784 , 4164
2 , 3593 , 2447 , 3883
4 , 3651 , 2472 , 3944
16 , 3643 , 2466 , 3908
64 , 3798 , 2478 , 4067
256 , 4130 , 2514 , 4396
1024 , 6059 , 2617 , 6342
4096 , 13694 , 3120 , 13961
16384 , 45515 , 6015 , 45798
65536 , 173621 , 16873 , 173915
262144 , 697686 , 68467 , 697931
524288 , 1396395 , 136904 , 1396578
1 , 3800 , 2636 , 4039
2 , 3603 , 2453 , 3899
4 , 3623 , 2462 , 3908
16 , 3755 , 2516 , 4020
64 , 3683 , 2464 , 3967
256 , 4155 , 2471 , 4419
1024 , 6133 , 2648 , 6415
4096 , 13612 , 3057 , 13897
16384 , 45362 , 5948 , 45641
65536 , 171709 , 16476 , 171994
262144 , 695516 , 67610 , 695760
524288 , 1394834 , 136174 , 1395047
1 , 3802 , 2574 , 4042
2 , 3556 , 2400 , 3842
4 , 3609 , 2422 , 3874
16 , 3665 , 2452 , 3948
64 , 4230 , 2565 , 4499
256 , 4188 , 2608 , 4467
1024 , 6056 , 2581 , 6345
4096 , 13288 , 2795 , 13560
16384 , 53551 , 14605 , 53829
65536 , 171843 , 16525 , 172121
262144 , 744460 , 117003 , 744712
524288 , 1467918 , 210964 , 1468088
1 , 3933 , 2643 , 4187
2 , 3646 , 2491 , 3935
4 , 3536 , 2405 , 3822
16 , 3690 , 2483 , 3975
64 , 3658 , 2439 , 3913
256 , 4254 , 2496 , 4526
1024 , 6154 , 2622 , 6424
4096 , 13632 , 3093 , 13901
16384 , 45506 , 6057 , 45802
65536 , 172235 , 16629 , 172511
262144 , 737493 , 88517 , 737734
524288 , 1398186 , 138809 , 1398357
1 , 3882 , 2634 , 4125
2 , 3547 , 2414 , 3804
4 , 3642 , 2464 , 3924
16 , 3613 , 2464 , 3895
64 , 3731 , 2478 , 3998
256 , 4177 , 2438 , 4444
1024 , 6117 , 2588 , 6386
4096 , 13648 , 3132 , 13919
16384 , 45394 , 6007 , 45668
65536 , 172092 , 16758 , 172378
262144 , 697079 , 68056 , 697322
524288 , 1395454 , 136441 , 1395662
1 , 3832 , 2595 , 4070
2 , 4077 , 2587 , 4364
4 , 3625 , 2580 , 3892
16 , 3693 , 2472 , 3976
64 , 3744 , 2459 , 4021
256 , 4224 , 2504 , 4522
1024 , 6242 , 2646 , 6513
4096 , 13599 , 3081 , 13873
16384 , 45458 , 5965 , 45745
65536 , 171904 , 16757 , 172184
262144 , 697204 , 67468 , 697454
524288 , 1394962 , 136198 , 1395139
1 , 3719 , 2531 , 3958
2 , 3551 , 2412 , 3838
4 , 3613 , 2433 , 3882
16 , 3598 , 2433 , 3866
64 , 3700 , 2481 , 3944
256 , 4162 , 2504 , 4430
1024 , 6132 , 2601 , 6396
4096 , 13598 , 3070 , 13887
16384 , 45342 , 5845 , 45615
65536 , 180787 , 25718 , 181061
262144 , 695955 , 66931 , 696188
524288 , 1421639 , 143142 , 1421833
1 , 4553 , 2658 , 4802
2 , 3578 , 2444 , 3860
4 , 3567 , 2440 , 3837
16 , 3772 , 2533 , 4020
64 , 3708 , 2460 , 3983
256 , 4141 , 2485 , 4411
1024 , 6113 , 2640 , 6386
4096 , 13551 , 3066 , 13819
16384 , 45606 , 6080 , 45877
65536 , 172267 , 16826 , 172559
262144 , 697785 , 69887 , 698038
524288 , 1397068 , 136964 , 1397276
1 , 3837 , 2589 , 4075
2 , 4065 , 2557 , 4353
4 , 3620 , 2572 , 3905
16 , 3587 , 2465 , 3856
64 , 3771 , 2456 , 4041
256 , 4211 , 2487 , 4509
1024 , 6144 , 2626 , 6415
4096 , 13616 , 3111 , 13885
16384 , 45576 , 6052 , 45861
65536 , 171806 , 16541 , 172089
262144 , 697470 , 67936 , 697718
524288 , 1396457 , 137427 , 1396638
1 , 3793 , 2589 , 4028
2 , 3579 , 2412 , 3866
4 , 3582 , 2471 , 3869
16 , 3705 , 2507 , 3973
64 , 3734 , 2501 , 3998
256 , 4143 , 2445 , 4430
1024 , 6142 , 2666 , 6412
4096 , 13541 , 3065 , 13816
